1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA00000081779541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:40:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 06:30:01 PDT 2025
Total Mission Samples:  5493
Total Device Samples:  12843
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/25/25, 6:30:01 AM,C,3.085
7/25/25, 6:40:01 AM,C,3.085
7/25/25, 6:50:01 AM,C,3.085
7/25/25, 7:00:01 AM,C,3.586
7/25/25, 7:10:01 AM,C,4.088
7/25/25, 7:20:01 AM,C,4.59
7/25/25, 7:30:01 AM,C,5.092
7/25/25, 7:40:01 AM,C,6.095
7/25/25, 7:50:01 AM,C,7.099
7/25/25, 8:00:01 AM,C,7.6
7/25/25, 8:10:01 AM,C,10.108
7/25/25, 8:20:01 AM,C,12.614
7/25/25, 8:30:01 AM,C,14.117
7/25/25, 8:40:01 AM,C,15.62
7/25/25, 8:50:01 AM,C,16.621
7/25/25, 9:00:01 AM,C,18.124
7/25/25, 9:10:01 AM,C,20.126
7/25/25, 9:20:01 AM,C,22.628
7/25/25, 9:30:01 AM,C,24.129
7/25/25, 9:40:01 AM,C,25.129
7/25/25, 9:50:01 AM,C,26.629
7/25/25, 10:00:01 AM,C,25.629
7/25/25, 10:10:01 AM,C,26.129
7/25/25, 10:20:01 AM,C,26.129
7/25/25, 10:30:01 AM,C,27.129
7/25/25, 10:40:01 AM,C,27.629
7/25/25, 10:50:01 AM,C,28.129
7/25/25, 11:00:01 AM,C,28.628
7/25/25, 11:10:01 AM,C,29.628
7/25/25, 11:20:01 AM,C,27.629
7/25/25, 11:30:01 AM,C,27.629
7/25/25, 11:40:01 AM,C,29.128
7/25/25, 11:50:01 AM,C,29.128
7/25/25, 12:00:01 PM,C,31.127
7/25/25, 12:10:01 PM,C,31.626
7/25/25, 12:20:01 PM,C,31.127
7/25/25, 12:30:01 PM,C,33.125
7/25/25, 12:40:01 PM,C,29.628
7/25/25, 12:50:01 PM,C,26.129
7/25/25, 1:00:01 PM,C,29.128
7/25/25, 1:10:01 PM,C,24.129
7/25/25, 1:20:01 PM,C,22.128
7/25/25, 1:30:01 PM,C,21.127
7/25/25, 1:40:01 PM,C,20.626
7/25/25, 1:50:01 PM,C,20.126
7/25/25, 2:00:01 PM,C,19.125
7/25/25, 2:10:01 PM,C,19.625
7/25/25, 2:20:01 PM,C,19.625
7/25/25, 2:30:01 PM,C,21.127
7/25/25, 2:40:01 PM,C,23.628
7/25/25, 2:50:01 PM,C,31.127
7/25/25, 3:00:01 PM,C,31.127
7/25/25, 3:10:01 PM,C,29.628
7/25/25, 3:20:01 PM,C,31.127
7/25/25, 3:30:01 PM,C,25.629
7/25/25, 3:40:01 PM,C,22.628
7/25/25, 3:50:01 PM,C,21.127
7/25/25, 4:00:01 PM,C,20.626
7/25/25, 4:10:01 PM,C,20.126
7/25/25, 4:20:01 PM,C,18.624
7/25/25, 4:30:01 PM,C,17.623
7/25/25, 4:40:01 PM,C,17.623
7/25/25, 4:50:01 PM,C,16.121
7/25/25, 5:00:01 PM,C,14.618
7/25/25, 5:10:01 PM,C,13.616
7/25/25, 5:20:01 PM,C,12.113
7/25/25, 5:30:01 PM,C,11.611
7/25/25, 5:40:01 PM,C,11.11
7/25/25, 5:50:01 PM,C,11.11
7/25/25, 6:00:01 PM,C,11.11
7/25/25, 6:10:01 PM,C,10.609
7/25/25, 6:20:01 PM,C,11.11
7/25/25, 6:30:01 PM,C,11.611
7/25/25, 6:40:01 PM,C,12.113
7/25/25, 6:50:01 PM,C,12.113
7/25/25, 7:00:01 PM,C,12.113
7/25/25, 7:10:01 PM,C,12.113
7/25/25, 7:20:01 PM,C,12.113
7/25/25, 7:30:01 PM,C,11.611
7/25/25, 7:40:01 PM,C,11.611
7/25/25, 7:50:01 PM,C,11.11
7/25/25, 8:00:01 PM,C,10.609
7/25/25, 8:10:01 PM,C,10.609
7/25/25, 8:20:01 PM,C,10.108
7/25/25, 8:30:01 PM,C,10.108
7/25/25, 8:40:01 PM,C,10.108
7/25/25, 8:50:01 PM,C,9.606
7/25/25, 9:00:01 PM,C,9.105
7/25/25, 9:10:01 PM,C,8.102
7/25/25, 9:20:01 PM,C,7.6
7/25/25, 9:30:01 PM,C,7.6
7/25/25, 9:40:01 PM,C,7.6
7/25/25, 9:50:01 PM,C,7.099
7/25/25, 10:00:01 PM,C,6.597
7/25/25, 10:10:01 PM,C,6.095
7/25/25, 10:20:01 PM,C,6.095
7/25/25, 10:30:01 PM,C,5.594
7/25/25, 10:40:01 PM,C,5.594
7/25/25, 10:50:01 PM,C,5.092
7/25/25, 11:00:01 PM,C,4.59
7/25/25, 11:10:01 PM,C,4.59
7/25/25, 11:20:01 PM,C,4.088
7/25/25, 11:30:01 PM,C,4.088
7/25/25, 11:40:01 PM,C,3.586
7/25/25, 11:50:01 PM,C,3.586
7/26/25, 12:00:01 AM,C,3.085
7/26/25, 12:10:01 AM,C,2.583
7/26/25, 12:20:01 AM,C,2.583
7/26/25, 12:30:01 AM,C,2.583
7/26/25, 12:40:01 AM,C,2.081
7/26/25, 12:50:01 AM,C,2.583
7/26/25, 1:00:01 AM,C,2.081
7/26/25, 1:10:01 AM,C,2.583
7/26/25, 1:20:01 AM,C,2.583
7/26/25, 1:30:01 AM,C,2.081
7/26/25, 1:40:01 AM,C,2.583
7/26/25, 1:50:01 AM,C,2.583
7/26/25, 2:00:01 AM,C,3.085
7/26/25, 2:10:01 AM,C,3.085
7/26/25, 2:20:01 AM,C,3.085
7/26/25, 2:30:01 AM,C,2.583
7/26/25, 2:40:01 AM,C,2.583
7/26/25, 2:50:01 AM,C,2.081
7/26/25, 3:00:01 AM,C,2.081
7/26/25, 3:10:01 AM,C,2.081
7/26/25, 3:20:01 AM,C,1.579
7/26/25, 3:30:01 AM,C,1.076
7/26/25, 3:40:01 AM,C,1.579
7/26/25, 3:50:01 AM,C,1.076
7/26/25, 4:00:01 AM,C,1.076
7/26/25, 4:10:01 AM,C,1.076
7/26/25, 4:20:01 AM,C,0.574
7/26/25, 4:30:01 AM,C,0.574
7/26/25, 4:40:01 AM,C,0.574
7/26/25, 4:50:01 AM,C,0.574
7/26/25, 5:00:01 AM,C,0.574
7/26/25, 5:10:01 AM,C,0.072
7/26/25, 5:20:01 AM,C,0.072
7/26/25, 5:30:01 AM,C,0.072
7/26/25, 5:40:01 AM,C,0.072
7/26/25, 5:50:01 AM,C,0.072
7/26/25, 6:00:01 AM,C,0.072
7/26/25, 6:10:01 AM,C,0.072
7/26/25, 6:20:01 AM,C,0.072
7/26/25, 6:30:01 AM,C,0.072
7/26/25, 6:40:01 AM,C,0.574
7/26/25, 6:50:01 AM,C,0.574
7/26/25, 7:00:01 AM,C,1.076
7/26/25, 7:10:01 AM,C,1.579
7/26/25, 7:20:01 AM,C,2.081
7/26/25, 7:30:01 AM,C,2.583
7/26/25, 7:40:01 AM,C,3.586
7/26/25, 7:50:01 AM,C,4.59
7/26/25, 8:00:01 AM,C,5.594
7/26/25, 8:10:01 AM,C,7.099
7/26/25, 8:20:01 AM,C,8.102
7/26/25, 8:30:01 AM,C,9.105
7/26/25, 8:40:01 AM,C,11.11
7/26/25, 8:50:01 AM,C,12.113
7/26/25, 9:00:01 AM,C,15.119
7/26/25, 9:10:01 AM,C,17.122
7/26/25, 9:20:01 AM,C,19.625
7/26/25, 9:30:01 AM,C,21.127
7/26/25, 9:40:01 AM,C,22.128
7/26/25, 9:50:01 AM,C,22.128
7/26/25, 10:00:01 AM,C,24.129
7/26/25, 10:10:01 AM,C,24.129
7/26/25, 10:20:01 AM,C,24.129
7/26/25, 10:30:01 AM,C,25.629
7/26/25, 10:40:01 AM,C,28.129
7/26/25, 10:50:01 AM,C,27.129
7/26/25, 11:00:01 AM,C,28.628
7/26/25, 11:10:01 AM,C,29.128
7/26/25, 11:20:01 AM,C,26.629
7/26/25, 11:30:01 AM,C,29.128
7/26/25, 11:40:01 AM,C,30.128
7/26/25, 11:50:01 AM,C,30.128
7/26/25, 12:00:01 PM,C,30.627
7/26/25, 12:10:01 PM,C,27.629
7/26/25, 12:20:01 PM,C,28.628
7/26/25, 12:30:01 PM,C,22.128
7/26/25, 12:40:01 PM,C,21.627
7/26/25, 12:50:01 PM,C,21.127
7/26/25, 1:00:01 PM,C,21.127
7/26/25, 1:10:01 PM,C,19.625
7/26/25, 1:20:01 PM,C,18.624
7/26/25, 1:30:01 PM,C,18.624
7/26/25, 1:40:01 PM,C,20.126
7/26/25, 1:50:01 PM,C,19.125
7/26/25, 2:00:01 PM,C,16.621
7/26/25, 2:10:01 PM,C,15.62
7/26/25, 2:20:01 PM,C,15.62
7/26/25, 2:30:01 PM,C,15.62
7/26/25, 2:40:01 PM,C,15.119
7/26/25, 2:50:01 PM,C,15.119
7/26/25, 3:00:01 PM,C,16.121
7/26/25, 3:10:01 PM,C,15.62
7/26/25, 3:20:01 PM,C,14.618
7/26/25, 3:30:01 PM,C,14.618
7/26/25, 3:40:01 PM,C,17.623
7/26/25, 3:50:01 PM,C,18.124
7/26/25, 4:00:01 PM,C,17.122
7/26/25, 4:10:01 PM,C,16.621
7/26/25, 4:20:01 PM,C,17.122
7/26/25, 4:30:01 PM,C,18.124
7/26/25, 4:40:01 PM,C,19.625
7/26/25, 4:50:01 PM,C,21.127
7/26/25, 5:00:01 PM,C,19.625
7/26/25, 5:10:01 PM,C,19.625
7/26/25, 5:20:01 PM,C,19.625
7/26/25, 5:30:01 PM,C,18.624
7/26/25, 5:40:01 PM,C,20.126
7/26/25, 5:50:01 PM,C,21.627
7/26/25, 6:00:01 PM,C,21.127
7/26/25, 6:10:01 PM,C,20.126
7/26/25, 6:20:01 PM,C,18.624
7/26/25, 6:30:01 PM,C,18.624
7/26/25, 6:40:01 PM,C,17.122
7/26/25, 6:50:01 PM,C,17.623
7/26/25, 7:00:01 PM,C,16.121
7/26/25, 7:10:01 PM,C,15.62
7/26/25, 7:20:01 PM,C,14.618
7/26/25, 7:30:01 PM,C,13.616
7/26/25, 7:40:01 PM,C,12.614
7/26/25, 7:50:01 PM,C,12.113
7/26/25, 8:00:01 PM,C,11.11
7/26/25, 8:10:01 PM,C,10.108
7/26/25, 8:20:01 PM,C,9.606
7/26/25, 8:30:01 PM,C,9.105
7/26/25, 8:40:01 PM,C,8.603
7/26/25, 8:50:01 PM,C,8.102
7/26/25, 9:00:01 PM,C,7.099
7/26/25, 9:10:01 PM,C,6.597
7/26/25, 9:20:01 PM,C,6.597
7/26/25, 9:30:01 PM,C,6.597
7/26/25, 9:40:01 PM,C,6.095
7/26/25, 9:50:01 PM,C,6.095
7/26/25, 10:00:01 PM,C,5.594
7/26/25, 10:10:01 PM,C,5.092
7/26/25, 10:20:01 PM,C,5.092
7/26/25, 10:30:01 PM,C,4.59
7/26/25, 10:40:01 PM,C,4.59
7/26/25, 10:50:01 PM,C,4.088
7/26/25, 11:00:01 PM,C,4.59
7/26/25, 11:10:01 PM,C,4.088
7/26/25, 11:20:01 PM,C,3.085
7/26/25, 11:30:01 PM,C,3.586
7/26/25, 11:40:01 PM,C,3.085
7/26/25, 11:50:01 PM,C,3.085
7/27/25, 12:00:01 AM,C,2.583
7/27/25, 12:10:01 AM,C,2.583
7/27/25, 12:20:01 AM,C,3.085
7/27/25, 12:30:01 AM,C,3.085
7/27/25, 12:40:01 AM,C,3.085
7/27/25, 12:50:01 AM,C,2.081
7/27/25, 1:00:01 AM,C,1.579
7/27/25, 1:10:01 AM,C,2.081
7/27/25, 1:20:01 AM,C,1.579
7/27/25, 1:30:01 AM,C,1.579
7/27/25, 1:40:01 AM,C,1.579
7/27/25, 1:50:01 AM,C,1.579
7/27/25, 2:00:01 AM,C,2.081
7/27/25, 2:10:01 AM,C,1.579
7/27/25, 2:20:01 AM,C,1.579
7/27/25, 2:30:01 AM,C,1.076
7/27/25, 2:40:01 AM,C,1.076
7/27/25, 2:50:01 AM,C,1.076
7/27/25, 3:00:01 AM,C,0.574
7/27/25, 3:10:01 AM,C,0.574
7/27/25, 3:20:01 AM,C,0.072
7/27/25, 3:30:01 AM,C,0.072
7/27/25, 3:40:01 AM,C,0.072
7/27/25, 3:50:01 AM,C,0.072
7/27/25, 4:00:01 AM,C,0.574
7/27/25, 4:10:01 AM,C,0.072
7/27/25, 4:20:01 AM,C,0.072
7/27/25, 4:30:01 AM,C,0.072
7/27/25, 4:40:01 AM,C,0.072
7/27/25, 4:50:01 AM,C,0.072
7/27/25, 5:00:01 AM,C,0.072
7/27/25, 5:10:01 AM,C,-0.43
7/27/25, 5:20:01 AM,C,0.072
7/27/25, 5:30:01 AM,C,0.072
7/27/25, 5:40:01 AM,C,-0.43
7/27/25, 5:50:01 AM,C,-0.43
7/27/25, 6:00:01 AM,C,0.072
7/27/25, 6:10:01 AM,C,-0.43
7/27/25, 6:20:01 AM,C,-0.43
7/27/25, 6:30:01 AM,C,0.072
7/27/25, 6:40:01 AM,C,0.072
7/27/25, 6:50:01 AM,C,0.574
7/27/25, 7:00:01 AM,C,1.579
7/27/25, 7:10:01 AM,C,1.579
7/27/25, 7:20:01 AM,C,2.081
7/27/25, 7:30:01 AM,C,3.085
7/27/25, 7:40:01 AM,C,3.586
7/27/25, 7:50:01 AM,C,5.092
7/27/25, 8:00:01 AM,C,6.095
7/27/25, 8:10:01 AM,C,8.102
7/27/25, 8:20:01 AM,C,9.105
7/27/25, 8:30:01 AM,C,10.609
7/27/25, 8:40:01 AM,C,12.113
7/27/25, 8:50:01 AM,C,15.119
7/27/25, 9:00:01 AM,C,16.621
7/27/25, 9:10:01 AM,C,18.624
7/27/25, 9:20:01 AM,C,20.626
7/27/25, 9:30:01 AM,C,22.628
7/27/25, 9:40:01 AM,C,23.628
7/27/25, 9:50:01 AM,C,24.129
7/27/25, 10:00:01 AM,C,25.629
7/27/25, 10:10:01 AM,C,26.129
7/27/25, 10:20:01 AM,C,25.129
7/27/25, 10:30:01 AM,C,27.129
7/27/25, 10:40:01 AM,C,27.129
7/27/25, 10:50:01 AM,C,28.628
7/27/25, 11:00:01 AM,C,28.129
7/27/25, 11:10:01 AM,C,29.128
7/27/25, 11:20:01 AM,C,31.127
7/27/25, 11:30:01 AM,C,30.627
7/27/25, 11:40:01 AM,C,29.628
7/27/25, 11:50:01 AM,C,30.128
7/27/25, 12:00:01 PM,C,30.627
7/27/25, 12:10:01 PM,C,29.628
7/27/25, 12:20:01 PM,C,30.627
7/27/25, 12:30:01 PM,C,32.126
7/27/25, 12:40:01 PM,C,29.628
7/27/25, 12:50:01 PM,C,29.128
7/27/25, 1:00:01 PM,C,33.125
7/27/25, 1:10:01 PM,C,28.628
7/27/25, 1:20:01 PM,C,25.129
7/27/25, 1:30:01 PM,C,24.629
7/27/25, 1:40:01 PM,C,30.627
7/27/25, 1:50:01 PM,C,26.129
7/27/25, 2:00:01 PM,C,26.629
7/27/25, 2:10:01 PM,C,24.129
7/27/25, 2:20:01 PM,C,22.628
7/27/25, 2:30:01 PM,C,26.629
7/27/25, 2:40:01 PM,C,33.125
7/27/25, 2:50:01 PM,C,33.624
7/27/25, 3:00:01 PM,C,31.127
7/27/25, 3:10:01 PM,C,27.629
7/27/25, 3:20:01 PM,C,23.628
7/27/25, 3:30:01 PM,C,25.129
7/27/25, 3:40:01 PM,C,25.129
7/27/25, 3:50:01 PM,C,23.128
7/27/25, 4:00:01 PM,C,23.128
7/27/25, 4:10:01 PM,C,22.628
7/27/25, 4:20:01 PM,C,24.629
7/27/25, 4:30:01 PM,C,26.129
7/27/25, 4:40:01 PM,C,26.129
7/27/25, 4:50:01 PM,C,24.629
7/27/25, 5:00:01 PM,C,24.129
